epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
15,5876.13,1.88539,2.47417,1.91457,0.35434,0.38339,0.30504,0.12568,1.96639,2.41121,2.06616,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,6262.91,1.88101,2.45208,1.90638,0.38115,0.40082,0.33191,0.13253,1.99637,2.30929,2.07392,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,6648.25,1.87263,2.44498,1.9073,0.40868,0.39672,0.34126,0.13708,1.96881,2.26785,2.04695,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,7032.79,1.85573,2.40046,1.89139,0.38824,0.39685,0.33737,0.13704,1.93305,2.28366,2.03044,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,7417.06,1.84854,2.42501,1.89093,0.40303,0.39057,0.34645,0.13887,1.95195,2.28309,2.04312,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,7802.09,1.84213,2.38327,1.86261,0.39383,0.41312,0.35244,0.14159,1.94648,2.2749,2.01809,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,8186.75,1.84806,2.41112,1.86796,0.39391,0.39723,0.34189,0.14092,1.93399,2.29522,2.02891,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,8571.03,1.83259,2.40223,1.88456,0.40903,0.38954,0.34696,0.14311,1.93176,2.27868,2.02305,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,8955.84,1.81235,2.36484,1.8645,0.39562,0.38698,0.35283,0.14729,1.93233,2.26641,2.03546,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,9340.36,1.80257,2.38178,1.84727,0.39228,0.3757,0.33372,0.13999,1.91979,2.26741,2.01521,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,9725.27,1.81207,2.35921,1.85027,0.40881,0.39569,0.35143,0.1458,1.92049,2.25638,2.03314,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,10109.2,1.80349,2.38934,1.83969,0.37591,0.39313,0.34409,0.14478,1.90815,2.25205,1.9991,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,10492.7,1.79344,2.36584,1.84658,0.38682,0.39211,0.35376,0.14836,1.91352,2.22365,2.00574,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,10877.3,1.79708,2.31683,1.83409,0.4117,0.39262,0.36586,0.15194,1.90692,2.23236,1.9999,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,11262.7,1.78638,2.36052,1.83018,0.39845,0.38391,0.35269,0.14579,1.89683,2.24607,1.98899,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,11648.1,1.80046,2.31837,1.84006,0.38289,0.40133,0.35284,0.14903,1.90571,2.21299,2.00198,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,12034.5,1.77903,2.30666,1.82736,0.38454,0.39467,0.35324,0.15101,1.90711,2.22264,2.00903,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,12419.8,1.78726,2.27887,1.84347,0.38718,0.40122,0.35332,0.15047,1.9052,2.22279,2.01004,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,12804,1.77418,2.2558,1.82725,0.38413,0.40287,0.35435,0.15101,1.90643,2.22429,2.0108,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,13188.5,1.76684,2.28562,1.81122,0.39764,0.39672,0.35888,0.15204,1.91392,2.21701,2.01549,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,13573,1.76692,2.26231,1.82791,0.39177,0.4039,0.35785,0.15264,1.90951,2.21422,2.01607,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,13957.8,1.76276,2.28622,1.82013,0.39441,0.41126,0.35836,0.15341,1.91176,2.20801,2.01717,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,14342,1.76822,2.25874,1.82338,0.39929,0.41312,0.36258,0.15466,1.90993,2.19638,2.01806,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,14727.2,1.76476,2.25958,1.81446,0.41118,0.39159,0.36272,0.15646,1.90404,2.19515,2.01317,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,15113.2,1.74058,2.23203,1.79368,0.41114,0.39364,0.36347,0.15644,1.90605,2.1885,2.01284,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,15497.3,1.75156,2.20812,1.79377,0.41146,0.39108,0.36562,0.15607,1.9064,2.18543,2.01344,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,15881.9,1.74554,2.22919,1.78693,0.42043,0.3841,0.36534,0.1553,1.90683,2.18214,2.01307,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,16266.3,1.73297,2.20275,1.78671,0.41233,0.39313,0.36622,0.15573,1.9069,2.18366,2.01497,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,16651.9,1.73969,2.19833,1.78624,0.40338,0.39364,0.36694,0.15578,1.90764,2.18526,2.01467,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,17037.5,1.73247,2.2064,1.79632,0.39783,0.40236,0.3672,0.15572,1.90842,2.18262,2.01644,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,17422.6,1.72858,2.20567,1.79293,0.40003,0.40543,0.3665,0.15593,1.90857,2.18197,2.0172,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,17807.6,1.73386,2.16564,1.79355,0.4024,0.40902,0.36727,0.15629,1.90912,2.18151,2.01824,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,18192.1,1.72461,2.20992,1.78792,0.39888,0.41188,0.36795,0.15616,1.90962,2.18216,2.01903,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,18576.2,1.71261,2.15469,1.76155,0.40116,0.41107,0.36826,0.15667,1.91077,2.17551,2.01825,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,18960.4,1.69833,2.15571,1.76894,0.39851,0.4162,0.36829,0.15724,1.90987,2.17484,2.01782,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,19345.9,1.69432,2.13386,1.76175,0.40118,0.41312,0.36848,0.15703,1.91012,2.1718,2.01811,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,19730,1.68859,2.10932,1.75677,0.39888,0.41363,0.36894,0.15762,1.91177,2.16901,2.01978,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,20114.7,1.68502,2.08066,1.75794,0.40347,0.41107,0.36926,0.15804,1.91348,2.16663,2.02162,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,20499.2,1.69375,2.08266,1.76033,0.4046,0.40953,0.37074,0.15797,1.91571,2.1638,2.02417,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,20883.7,1.66545,2.10066,1.74703,0.40308,0.41153,0.37022,0.158,1.91638,2.16131,2.0264,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,21269.3,1.65949,2.12578,1.7352,0.40442,0.41034,0.37046,0.15784,1.9175,2.1606,2.02767,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,21653.5,1.65783,2.1252,1.74115,0.40608,0.40953,0.37091,0.15791,1.91786,2.16065,2.02968,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,22037.6,1.64933,2.06025,1.73967,0.4061,0.4121,0.37191,0.15839,1.92043,2.15912,2.03202,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,22423,1.64849,2.0535,1.73192,0.40384,0.41415,0.37188,0.15832,1.92329,2.15797,2.03487,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,22807.7,1.6451,2.07228,1.71989,0.40586,0.4128,0.37246,0.15874,1.92569,2.15656,2.03704,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,23192.3,1.64401,2.05419,1.72197,0.40535,0.40808,0.37119,0.1588,1.92673,2.15673,2.03794,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,23576.6,1.64321,1.99707,1.72089,0.40625,0.41107,0.37191,0.15863,1.92801,2.15618,2.03989,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,23961.8,1.62312,2.01917,1.71096,0.40192,0.41312,0.37111,0.15876,1.92976,2.15589,2.04199,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,24345.7,1.60781,2.00667,1.69703,0.40368,0.41706,0.37264,0.15917,1.93169,2.15337,2.04427,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,24730.7,1.60943,1.97801,1.69832,0.40141,0.41865,0.37189,0.15852,1.9337,2.15421,2.04634,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,25115.5,1.59811,1.95934,1.68743,0.40544,0.41773,0.37265,0.15872,1.93671,2.15291,2.04914,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,25499.5,1.57809,1.96984,1.67997,0.40258,0.42235,0.37352,0.15867,1.93975,2.15189,2.05268,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,25883.8,1.57992,1.95448,1.67626,0.40178,0.41997,0.37287,0.15853,1.94257,2.15,2.05582,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,26268.1,1.56556,1.89974,1.66646,0.40271,0.42081,0.3734,0.15849,1.94613,2.14852,2.05885,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,26652.1,1.5721,1.88739,1.67954,0.40402,0.42008,0.37383,0.15862,1.94998,2.14703,2.06363,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,27035.9,1.55917,1.90406,1.66142,0.40775,0.42081,0.37392,0.15815,1.95331,2.14548,2.06665,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,27430.8,1.53168,1.83125,1.70916,0.40602,0.4203,0.37342,0.15794,1.95489,2.14444,2.06892,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,27814.1,1.5073,1.79736,1.67326,0.40806,0.41876,0.3741,0.15826,1.95894,2.14177,2.0727,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,28198.2,1.49669,1.76905,1.68762,0.40703,0.42389,0.37467,0.15894,1.96062,2.14136,2.07571,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,28581.7,1.48958,1.74405,1.67585,0.40529,0.42286,0.3745,0.15914,1.96394,2.13823,2.07964,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,28965,1.45781,1.70756,1.64935,0.40574,0.42337,0.37376,0.15753,1.96668,2.13784,2.08446,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,29348,1.45747,1.7144,1.64623,0.40348,0.42643,0.37515,0.15876,1.9706,2.13661,2.08886,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,29730.8,1.44087,1.67163,1.63683,0.39961,0.43414,0.37495,0.15749,1.9747,2.13519,2.09335,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,30114.5,1.44044,1.62863,1.63799,0.39808,0.43721,0.37545,0.15739,1.97874,2.13554,2.09813,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,30496.4,1.42267,1.62607,1.62356,0.39713,0.43824,0.37572,0.15706,1.98258,2.13427,2.10296,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,30880.3,1.40718,1.62841,1.6082,0.39675,0.43465,0.37456,0.15678,1.98683,2.13413,2.10794,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
