epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,432.541,2.12891,3.9032,2.10651,0.17441,0.04152,0.04168,0.01185,2.75747,3.63627,2.84607,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146
2,832.726,2.09639,2.89873,2.06711,0.08756,0.28703,0.07583,0.02374,2.67636,3.96588,2.55347,0.0197469,0.00658232,0.0197469,0.00658232,0.0197469,0.00658232,0.0197469,0.00658232
3,1223.93,2.14942,3.0207,2.16082,0.0768,0.3019,0.07013,0.02168,2.39493,3.53995,2.35401,0.029252,0.00975067,0.029252,0.00975067,0.029252,0.00975067,0.029252,0.00975067
4,1612.47,2.14971,2.94046,2.13675,0.19974,0.33214,0.16225,0.04768,2.31337,3.01672,2.34226,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,2000.63,2.07623,2.79974,2.0805,0.30888,0.31881,0.24209,0.07994,2.21838,2.65308,2.23002,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,2390.13,2.02879,2.72937,2.04249,0.32366,0.32156,0.24692,0.09001,2.11597,2.85531,2.18325,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,2778.19,2.00083,2.68416,2.0131,0.34145,0.29267,0.22333,0.08221,2.12647,2.71908,2.22173,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,3166.32,1.96534,2.60979,1.98605,0.34994,0.32445,0.2636,0.10253,2.10732,2.52319,2.1798,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,3554.37,1.95177,2.5842,1.98455,0.41405,0.21322,0.2293,0.08923,2.12321,2.64354,2.15458,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,3940.58,1.93727,2.58238,1.96653,0.42664,0.36238,0.32511,0.12112,2.04733,2.42565,2.12145,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,4326.13,1.9271,2.56761,1.93717,0.37552,0.35572,0.30115,0.11303,2.06944,2.45276,2.09683,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,4712.37,1.8995,2.57805,1.90833,0.35835,0.31112,0.25701,0.10125,2.06326,2.61727,2.12314,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,5099.33,1.89553,2.52985,1.93115,0.36632,0.34854,0.29299,0.11888,2.02315,2.4526,2.14819,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,5487.57,1.90015,2.46156,1.91393,0.38862,0.38391,0.32405,0.1317,1.96572,2.3599,2.06247,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
