epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,23754.1,1.74991,2.43998,1.90305,0.37584,0.39262,0.33214,0.13995,1.83141,2.385,2.10948,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,24405.7,1.75176,2.45225,1.91756,0.38547,0.39835,0.33801,0.14172,1.82319,2.38208,2.10623,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,25057,1.75274,2.43098,1.90636,0.37608,0.39467,0.33589,0.14112,1.8275,2.37366,2.10458,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,25705.5,1.74836,2.45439,1.90898,0.38375,0.39579,0.33563,0.14178,1.82272,2.36666,2.10465,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,26360.2,1.74984,2.43016,1.90045,0.3751,0.39416,0.33398,0.14046,1.82348,2.3714,2.10658,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,27057,1.73041,2.41187,1.89814,0.37793,0.39723,0.3377,0.1411,1.82376,2.37095,2.11262,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,27725.3,1.72642,2.41594,1.89146,0.37308,0.4039,0.33749,0.14126,1.82727,2.37089,2.11894,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,28380.3,1.73329,2.40668,1.90268,0.37715,0.39467,0.33875,0.14153,1.831,2.36399,2.12302,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,29182.1,1.7377,2.38378,1.89721,0.38061,0.39672,0.34196,0.14285,1.8304,2.36444,2.12191,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,29927.2,1.73969,2.36205,1.90223,0.37288,0.40082,0.34159,0.14259,1.82882,2.36363,2.12051,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,30582.9,1.7226,2.36456,1.89476,0.37621,0.40595,0.34361,0.1433,1.8311,2.3597,2.12268,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,31239.5,1.72749,2.37687,1.87818,0.37717,0.39672,0.34525,0.14427,1.83133,2.3577,2.12187,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,31896,1.73546,2.35192,1.88721,0.37742,0.40082,0.3488,0.14558,1.83139,2.35681,2.12262,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,32551.7,1.71973,2.34724,1.88467,0.38251,0.40082,0.35134,0.14725,1.83059,2.35948,2.12251,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,33207.6,1.71129,2.3406,1.89243,0.38482,0.39928,0.35321,0.14723,1.8311,2.3604,2.1233,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,33869.1,1.71026,2.33666,1.87539,0.3901,0.39313,0.35382,0.14744,1.8307,2.35834,2.12279,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,34537.6,1.70719,2.33088,1.86265,0.38797,0.39877,0.35162,0.14669,1.83152,2.35393,2.12318,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
