epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,239.879,2.05248,4.87985,1.91006,0.2276,0.24407,0.13134,0.04094,2.3082,4.08335,2.20628,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146,0.00999438,0.00333146
2,449.279,2.08476,3.02605,1.94743,0.26469,0.1024,0.12433,0.04059,2.37208,3.2621,2.34898,0.0195985,0.00653283,0.0195985,0.00653283,0.0195985,0.00653283,0.0195985,0.00653283
3,667.94,2.15818,2.97158,2.03954,0.22258,0.28601,0.1541,0.05132,2.30709,2.93668,2.29767,0.0288066,0.0096022,0.0288066,0.0096022,0.0288066,0.0096022,0.0288066,0.0096022
4,864.7,2.15655,2.90222,2.04355,0.19656,0.41005,0.18233,0.06146,2.14928,2.82862,2.13058,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1052.38,2.08917,2.75485,1.98509,0.02237,0.06048,0.01485,0.0061,2.86118,6.29213,2.61482,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1236.2,2.05355,2.70381,1.95608,0.31996,0.2978,0.22449,0.07906,2.23042,2.7473,2.13844,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1427.83,2.01069,2.65281,1.91393,0.35582,0.30036,0.24195,0.08987,2.13008,2.64601,2.08576,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1631.14,1.97347,2.60072,1.89408,0.37305,0.33778,0.2874,0.11037,2.08017,2.45363,2.00678,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1828.27,1.97757,2.57541,1.89304,0.46083,0.28037,0.28546,0.10837,2.11858,2.55878,2.05724,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2011.11,1.95308,2.55822,1.87231,0.3872,0.35418,0.31249,0.12149,2.0294,2.40765,1.9733,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2197.18,1.94864,2.55916,1.85119,0.39645,0.3675,0.31801,0.12266,2.00107,2.47381,1.9095,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2374.43,1.90169,2.57384,1.84553,0.39192,0.35982,0.31375,0.11888,2.00088,2.48934,1.97129,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2564.72,1.90571,2.52286,1.84926,0.38677,0.36142,0.31657,0.12512,1.99492,2.41911,2.0122,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2755.91,1.90688,2.47431,1.82685,0.38071,0.3634,0.3142,0.1227,1.93452,2.38025,1.90475,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2949.68,1.88863,2.4628,1.82508,0.3872,0.37622,0.32859,0.12921,1.96942,2.40977,1.97019,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3138.81,1.88928,2.43925,1.81097,0.37459,0.38749,0.32164,0.12944,1.97108,2.36448,1.91987,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3309.22,1.88288,2.43174,1.80782,0.40464,0.38442,0.33332,0.13529,1.93833,2.32035,1.8974,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3479.78,1.85956,2.3866,1.79623,0.40314,0.39057,0.34565,0.13823,1.92857,2.32046,1.87755,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3650.07,1.86517,2.40463,1.793,0.41611,0.38536,0.34773,0.13738,1.96022,2.26605,1.89151,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3821.17,1.83723,2.38387,1.77796,0.37743,0.38954,0.32995,0.13551,1.93532,2.29687,1.89761,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3991.67,1.85324,2.42574,1.78977,0.3761,0.40338,0.32699,0.1363,1.9297,2.2911,1.89725,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4162.29,1.84519,2.39457,1.80012,0.39975,0.39313,0.34424,0.14136,1.92439,2.29205,1.90753,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4333.12,1.81752,2.36265,1.75937,0.38066,0.41005,0.33942,0.14151,1.93051,2.28395,1.90144,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4503.54,1.81178,2.36954,1.75364,0.37484,0.38698,0.32892,0.13765,1.92542,2.26672,1.88862,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4674.06,1.81882,2.3459,1.75438,0.39606,0.40748,0.35194,0.14692,1.9258,2.24671,1.87757,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4844.68,1.80894,2.37957,1.74221,0.39647,0.40185,0.34954,0.14564,1.91539,2.25952,1.86745,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5015.69,1.79628,2.34668,1.74083,0.39665,0.39621,0.35161,0.14759,1.91947,2.24755,1.86501,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5186.33,1.79656,2.31081,1.73495,0.38689,0.4056,0.35851,0.14882,1.92048,2.25125,1.86669,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5357.5,1.79401,2.34289,1.73266,0.38407,0.40031,0.35162,0.14697,1.90707,2.243,1.86302,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5527.87,1.78218,2.31256,1.73391,0.38845,0.40133,0.35096,0.14947,1.90688,2.22549,1.8616,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5698.51,1.78453,2.2895,1.73255,0.3687,0.41517,0.34756,0.14754,1.90883,2.23911,1.87005,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5869.13,1.79175,2.25743,1.74962,0.37392,0.40851,0.34785,0.14796,1.90101,2.2443,1.87391,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6040.23,1.7658,2.24574,1.73521,0.37954,0.40646,0.35087,0.14958,1.90506,2.24075,1.88294,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6210.68,1.76567,2.27458,1.71036,0.39053,0.4043,0.35574,0.15068,1.90722,2.22961,1.87651,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6381.7,1.77216,2.25234,1.72346,0.39927,0.4039,0.35957,0.15247,1.90176,2.21905,1.8689,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6552.11,1.75532,2.2709,1.71992,0.40297,0.40543,0.35736,0.1521,1.89701,2.2275,1.86629,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6722.65,1.73931,2.25889,1.70947,0.38839,0.41568,0.35886,0.1528,1.89603,2.22966,1.8688,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6893.35,1.75705,2.24946,1.7096,0.38714,0.41415,0.35935,0.15295,1.89501,2.2244,1.86563,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7064.33,1.72665,2.21396,1.69837,0.39709,0.40881,0.35993,0.1533,1.89626,2.21885,1.86599,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7234.81,1.73408,2.19965,1.69726,0.39821,0.40492,0.36169,0.1531,1.89745,2.22094,1.86753,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7417.26,1.72861,2.2161,1.71477,0.39621,0.40748,0.3602,0.15306,1.89673,2.20787,1.86694,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7586.15,1.7247,2.21355,1.72197,0.39322,0.41363,0.35971,0.15245,1.89528,2.19974,1.86751,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7755.19,1.70289,2.18688,1.71262,0.39006,0.41363,0.35884,0.15256,1.89529,2.19654,1.86938,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7924.16,1.69371,2.16442,1.70447,0.39111,0.41516,0.35921,0.15304,1.89523,2.19336,1.87066,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8092.89,1.6838,2.13743,1.70228,0.39157,0.41056,0.35898,0.15267,1.8943,2.19066,1.87136,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8261.69,1.66281,2.16075,1.68,0.38795,0.4121,0.35843,0.15306,1.89357,2.18776,1.87271,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8430.67,1.68056,2.09577,1.69735,0.39133,0.41056,0.35852,0.1531,1.89414,2.18459,1.87448,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8599.86,1.69213,2.12026,1.6958,0.38702,0.41261,0.35842,0.15291,1.89487,2.18165,1.8751,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8768.43,1.6595,2.11953,1.67868,0.38811,0.41158,0.35899,0.15345,1.89511,2.18197,1.87662,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8937.89,1.65831,2.09368,1.68275,0.39245,0.41107,0.35945,0.15358,1.89551,2.18125,1.87751,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
